County,All_2013,All_2014,All_2015,Private-goods-producing-2013,Private-goods-producing-2014,Private-goods-producing-2015,Private services-providing-2013,Private services-providing-2014,Private services-providing-2015,Gov-2013,Gov-2014,Gov-2015
Bell,-4.2,-7,-10.4,-1.8,-11.5,-21,-5.7,-3.7,-4.2,-5.5,-5.8,-5.5
Boone,-1,-1.4,1.4,-2.5,3.8,-0.7,-0.6,-2.8,2.3,-1.4,-1,-2
Bourbon,-0.3,-5.2,-5.8,1.3,-9.2,-6.4,-1,-1.4,-5.5,-3.9,-4.5,-4.8
Boyd,25.4,-12.5,-3.5,50.3,-20.1,-8.8,-0.2,-1.3,2.8,-2.3,-3.6,-3.4
Boyle,-3.3,-4.2,1.8,-0.1,-1,-0.8,-4.6,-5.4,3.7,-0.9,-2.6,-4.1
Bracken,-4.8,0.3,-4.2,-9.9,(D),(D),-1.7,(D),(D),-0.2,-2.9,-3
Breathitt,-1.3,-5.9,-2.6,21.2,-13.4,-1.4,-4.6,-4.7,-1.9,-1.1,-5.8,-4.2
Breckinridge,11.6,-5.1,2.9,38.8,-2.8,11.4,2.5,-7.5,-0.7,-0.9,-1.4,-2.3
Bullitt,5.7,-1.3,3.1,0.7,-4.4,5.6,10.3,1.1,1.9,2.6,-0.9,-0.1
Butler,14.4,-5.3,17.5,10.3,11.5,36.6,26.9,-26.6,-7.4,-1,-2.3,-2.8
Caldwell,3.6,-4.2,0.3,10,-10.5,-1.9,-0.5,2.1,2.8,-0.9,-5.4,-2.4
Calloway,0.1,-0.6,-1.3,5.8,-5.2,2.2,-1.2,3.5,-1.5,-3.2,-2.9,-4.6
Campbell,-1,0.5,-3.3,7.5,-1,1.9,-3.8,1.6,-4.9,-0.2,-1.6,-3.4
Carlisle,9,5.2,-1.2,56,-11.8,9.2,-7.2,17.2,-4.9,-1.8,-4.5,-6.1
Carroll,12.1,-5.9,-2.5,17.4,-8,-2.6,9.4,-4.7,-2.7,1.5,-2.5,0
Carter,-1,-5.2,-3.3,6.9,-8.2,-8.8,-3.6,-4.3,-1,-3.4,-3.3,-2.9
Casey,5.1,-0.8,4.4,17.1,-3.4,5.9,-1.8,3,6,-1.8,-4.6,-4.4
Christian,-2.8,-1.4,-1,7,2.8,2,0.1,1,-3.2,-5.7,-3.2,-0.8
Clark,1.7,-1.7,-0.7,4.1,-0.1,1.5,0.9,-2.4,-1.7,-0.9,-3,-3
Clay,-3.3,1.6,-1.2,-15.9,7.5,7.7,-3.3,4.2,-1.8,0.2,-2.8,-2.7
Clinton,5.8,-7.9,-3.5,16.6,-10.4,-3.9,-7.4,-4.3,-2.9,-2.8,-5.1,-2.6
Crittenden,12.6,0.6,5.5,26.3,5.5,8.4,5,-3.3,4.6,-2.5,-4.1,-1.7
Cumberland,3.8,-5.1,5.8,21.1,1.3,-5.4,-3.5,-9.8,18.1,-1.2,-3.7,-5.4
Daviess,2.8,-2.2,-1.2,3.7,-5.2,-7.9,3,-0.3,2.5,-1.4,-5,-4.5
Edmonson,7.3,-3.4,0.1,29.7,-1.6,2.2,2.2,-4.8,1.2,-1.9,-3.5,-2.4
Elliott,6.3,-9.8,11.1,70.5,9.8,28.8,1.9,-27.1,28.3,0.5,-4,-0.3
Estill,-3.5,-7.4,2.1,-2,-11.6,1.7,-4.2,-7.5,5.5,-3.2,-3.4,-4.8
Fayette,2.4,1,3.8,5.1,1.3,4.3,1.9,0.8,4.5,1.8,1.3,0.8
Fleming,5.8,-5.4,1.2,25.4,-0.9,9.5,-4.1,-8.9,2.5,-0.7,-6.3,-14.5
Floyd,-6.5,-3.8,-1.9,-15.5,-6.3,-5.4,-3.7,-3,0.5,-1.5,-3.5,-6.3
Franklin,0.4,23.4,10.8,3.2,7.4,-0.1,1.7,62.6,27.5,-2.7,-0.8,-5
Fulton,3.2,-3.6,0.7,24.1,-10.3,5.5,-5.4,0.4,-0.7,0.6,-4.4,-2.9
Gallatin,20.4,9.9,10.4,33.2,7.3,20.3,11.7,15.6,2.8,-0.1,-1.3,-5.7
Garrard,7.2,-4.8,0,24.4,-6.8,2.1,-0.6,-3.8,0.3,-0.7,-3,-3.9
Grant,2.1,2.6,8.4,-0.8,6,6.3,4.3,3.4,13.2,-0.8,-4.2,-4.8
Graves,6.5,-5.8,1.7,18.8,-9.6,4.8,1.4,-4.2,0.6,-1.7,-2.2,-1.6
Grayson,3.3,2.3,4,3.7,2.1,-1.8,4.5,4.6,11.9,-0.7,-2.8,-3.6
Green,12.2,-5.2,-2.2,61.3,-16.1,3.9,1.5,2.1,-3.2,-8.9,-5.8,-7
Greenup,0.8,-5.6,-4.7,(D),(D),(D),(D),(D),(D),1.1,-4.4,-4.1
Hancock,19,-2.4,6.4,26.5,8,13.3,-0.3,-39.9,-33.2,-0.7,-2.4,-4
Hardin,-2.9,-3.8,-2.7,0.5,-2.5,4.3,-4.3,1.5,-0.7,-2.9,-9.4,-7.9
Harlan,-7.9,-7.5,-13.8,-14.1,-14.7,-31.6,-2.7,-1.8,-2.8,-2.6,-4.5,-6
Harrison,-3,0.1,0,-0.7,4.8,-1.5,-6.3,-4.7,4,-2.1,-4.1,-5
Hart,9.6,2.7,2.8,16,5.5,7.2,3.8,-0.8,-3.3,-1.7,-1.9,-3.6
Henderson,-0.1,0,-1.7,1.6,1.6,4.1,-1.5,-0.9,-5,1.1,-1.6,-5.9
Henry,13.5,5,7.9,16.8,0.2,13,16.6,10.3,8.5,-1.2,-2.7,-4.2
Hickman,49.9,-15.2,10.6,77.7,-13.9,10.1,23.6,-21.7,17,-1.1,-4.7,-2.7
Hopkins,-0.2,-1.5,-3,3.1,0.5,-2.7,-3.3,-3,-2.7,-0.1,-2.9,-5.1
Jackson,-1,-4.4,-9.6,7.7,-2,-18.9,-3.8,-5.7,-8.1,-3.1,-4.3,-4.5
Jefferson,1.3,1.9,0.7,4.1,-8,-7.2,0.7,5.2,3.1,-0.1,-0.9,-1.5
Jessamine,4.4,4,-5.7,4.9,4,-7.7,5,5.2,-5.2,0.1,-2.3,-3.1
Johnson,-1,-1,-7.2,3.9,-2.5,-29.9,-2,0.4,-2.6,-1.4,-3.9,-5.1
Kenton,-2.7,1,-5.4,7.6,8.1,3.8,-4.8,0,-7.4,-0.6,-0.8,-5.3
Knott,-26.7,-3.5,-5.1,-50.7,-4.4,-13.5,-8.5,-2.8,-0.1,-1.4,-4,-5.7
Knox,-6.9,-2.4,-4,-18.2,-7,-6.4,-5.6,-1.3,-3.2,-2.8,-2.9,-4.9
Larue,6,-5,-2.1,21.7,-8.1,-0.3,-4.1,-3.5,-3,0.5,-1.7,-3.8
Laurel,1.1,3,0.3,10,-2.1,-6.5,-1.8,6.4,4,-4.3,-2.6,-2.5
Lawrence,-2.4,9.7,-10.5,-5.2,-13.6,7.1,-2.1,14.1,-12.6,-2.7,-2.2,-4.8
Lee,3.9,-4.9,0.3,-5,-4.8,16.4,8.2,-4.5,0.3,-3.7,-6.2,-7
Leslie,-12.6,-24.4,-2.2,-19.6,-40.2,2.3,-5.8,-15.9,-0.5,-4.7,-4.4,-10.2
Letcher,-20.5,-0.4,-8.8,-46.4,6.7,-30.4,-2.3,-2.3,0.9,-2.2,-4.8,-4.5
Lewis,7.8,-7.2,2.7,12.4,-0.3,0,9.3,-14.7,9.7,-1.2,-3.5,-4.9
Lincoln,-0.6,-0.7,5.5,4.9,1.5,10.9,-4.3,-1.4,3.5,-3.2,-4.5,-3.1
Livingston,25.1,12.3,8.2,36.2,11.6,-7.7,20.9,16.5,30.7,-2.4,0.5,-3.3
Logan,8.3,0.4,10.2,13.6,-0.7,17.1,-1.1,4.3,-1.2,-0.2,-3.3,-3.6
Lyon,3.9,6.5,-5.7,8.8,-2.6,2.9,7.4,16.5,-8.6,-2.5,-5.6,-3.3
McCracken,1.3,-2.4,-1.6,-2.3,-22,-28.2,2.4,1.9,3.6,-0.9,0.1,-5
McCreary,-0.3,2.1,3.6,19.4,-7.2,3.2,0.3,8.3,9.2,-4.4,0.1,-0.5
McLean,36.1,-5.6,14.7,67,-2.3,(D),11.1,-12.5,(D),-0.9,-4.7,-5.5
Madison,0.6,-1.2,-0.3,1.7,-4.4,5.8,2.1,0.7,-2.4,-3.8,-1.7,-2
Magoffin,-1.7,-5.7,-10.3,0.5,-14.3,-24.9,-2.4,-2.4,-4.5,-3,-1.8,-6.7
Marion,2.7,-1.4,-0.6,8.4,-3.2,-0.7,-6.7,3,0.3,-1.9,-2.7,-3.3
Marshall,2.6,-6.9,-6.7,3.3,-13.2,-10.6,2.7,1.1,-2.8,-2.1,-1.6,-3.2
Martin,27.3,-21.2,0.9,2.2,-8.3,-15.3,106,-42.7,24,-1.1,-0.4,0.1
Mason,-0.1,3.3,-11.8,7,18.4,(D),-2.5,-1.4,(D),-0.4,-5.4,-6.8
Meade,8.5,-5,0.7,10,-9.4,-4.8,10.5,-2.3,6,-0.4,-4.6,-6
Menifee,-0.4,-2.8,-1.4,11.4,-1.5,-0.2,-0.4,1,1.1,-6.5,-7.4,-5.1
Mercer,0.9,3.9,8.1,-0.4,12.6,14.4,2.6,-5.2,1.3,0.3,-3.1,-3.8
Metcalfe,3.6,-2.7,-0.2,9.9,-6.5,3.5,-3.6,5.2,-2.6,-2.2,-3.7,-6.4
Monroe,8.3,-6.6,3.9,27.4,-11.5,5.4,-2.5,-1.8,5.3,-5.2,-4.9,-3.9
Montgomery,0.7,0.6,2.6,2.1,0.3,4.4,-0.5,1.4,2,0.1,-1.9,-3.2
Morgan,2.7,-3.6,-2.3,15.7,-7.4,-19.8,-4.1,1.2,13,-2.9,-5.3,-2.9
Muhlenberg,0.3,3.6,-7.8,22.1,4.9,-12.6,-11.9,1.9,-4.5,-0.7,5.8,-7.4
Nelson,5.2,3.6,-0.7,(D),(D),0.6,(D),(D),-2.1,-1.1,-2.6,-3.9
Nicholas,6.6,-0.5,0.1,47.1,-4.9,4.2,-14,2.5,-2,-2.7,2.2,-2.4
Ohio,6.4,-3.6,1.4,11.4,-2.4,-0.7,2.6,-5.2,4.9,2.1,-2.8,-1.7
Oldham,4.1,-0.3,2.7,10.8,1.6,3.4,4.6,0.4,3.5,-2.9,-5,-1.5
Owen,-0.7,7.7,-2.7,2.1,17.6,9.5,-1.7,6.5,-10.9,-2.9,-5.4,-3.8
Owsley,3.6,-12.6,16,20.5,-5.5,30.5,5.9,-20.5,21.4,-3.1,-4.6,6.3
Pendleton,6.7,-1.2,-2.5,16.1,1.2,-1.4,3.7,-2.3,-2.5,-1.9,-2.4,-5.2
Perry,-4.6,-2.8,-4.3,-8.4,-7.8,-12.1,-2.2,0.6,0.1,-3,-3.6,-5.2
Pike,-2.5,9.2,3.6,-5.6,27.5,15,-0.2,-0.4,-4.6,-3,-4.2,-3.3
Powell,1.7,4.3,4.6,6.9,-4,-0.5,0.2,10.4,9.9,0.3,-1.5,-4.2
Pulaski,1.4,0.6,1.5,6.4,-2.1,6.6,0.3,2,1.2,-0.7,-2.2,-5.9
Robertson,1.9,-13.4,-1.1,(D),(D),(D),(D),(D),(D),-4.8,-7.3,-8
Rockcastle,1.6,-1.4,-1.6,15.3,-4.2,10.9,-0.4,0.6,-4.1,-2.2,-4.9,-3.5
Rowan,-1.4,-5.6,-3.9,-11.6,-17.9,-4.7,1.9,-3.9,-2.8,-1.3,-2,-5.5
Russell,2.2,-3,-2.3,0.3,-7.9,-6.2,6,2.2,1.8,-3.4,-4.7,-4.4
Scott,2.3,2.2,6.8,3.1,4.8,-8.9,1.9,-0.2,26.7,0.2,-0.4,-1.9
Shelby,7.1,0.7,0.4,10,-4,-3,6.9,5,3.5,-2.3,-2.7,-3
Simpson,2.4,4.1,-1.5,-1,6.8,-0.9,6.8,2,-2.4,0,-1.5,0.3
Spencer,10.1,-4.6,6.4,17.6,-10.3,1.9,11.2,-4.2,11.3,1.5,-0.9,-3.8
Taylor,2.6,2.5,3.4,8,-0.1,1.9,1.7,4.7,4.8,0,-2.6,-0.1
Todd,18.4,-6.3,3.4,44.6,-12.4,8.9,-1.9,2.1,-0.4,-3.3,-3.9,-4.6
Trigg,7.1,5.5,-1.3,30.2,13.3,2.9,-5.2,3.6,-3.3,0.1,-6.2,-6.3
